Year,Plot,Row,Block,Management,Sward_type,DMY
2019,1,A,A,B3,BPW,11911.717908099783
2019,2,A,A,B4,C,11253.203355411131
2019,3,B,A,B1,BPW,8422.653591398266
2019,4,B,A,B1,BFW,6671.520941442587
2019,5,C,A,B4,BPW,11970.774050705368
2019,6,C,A,B1,C,4623.37961063875
2019,7,D,A,B2,C,6582.635481235094
2019,8,D,A,B2,BPW,9897.339273711237
2019,9,E,A,B3,C,7787.568015563662
2019,10,E,A,B4,BFW,12258.64514161169
2019,11,F,A,B3,BFW,9402.183635702688
2019,12,F,A,B2,BFW,7417.811734529049
2019,13,A,B,B3,BPW,12880.244350832703
2019,14,A,B,B2,BPW,8738.392959231403
2019,15,B,B,B2,BFW,6638.034350264307
2019,16,B,B,B1,BPW,8234.632597000991
2019,17,C,B,B1,BFW,6648.608876052665
2019,18,C,B,B4,BFW,10837.905338380986
2019,19,D,B,B4,BPW,14735.43809954887
2019,20,D,B,B3,C,10113.820356963824
2019,21,E,B,B1,C,7002.310600677505
2019,22,E,B,B4,C,11832.258073428995
2019,23,F,B,B3,BFW,9639.05037626539
2019,24,F,B,B2,C,9002.456889277655
2019,25,A,C,B4,BFW,9601.414582169422
2019,26,A,C,B2,BPW,9525.522613710418
2019,27,B,C,B1,C,5039.46321808863
2019,28,B,C,B1,BPW,5603.3882851790095
2019,29,C,C,B4,BPW,12159.440530405504
2019,30,C,C,B3,BFW,9280.342151987697
2019,31,D,C,B4,C,11928.285928537878
2019,32,D,C,B3,C,10126.78110963403
2019,33,E,C,B3,BPW,13780.342111363152
2019,34,E,C,B1,BFW,8849.223132320816
2019,35,F,C,B2,BFW,10735.276891254707
2019,36,F,C,B2,C,10214.438918536529
2019,37,A,D,B1,BFW,9713.888262146414
2019,38,A,D,B3,C,8259.61677820815
2019,39,B,D,B3,BPW,12478.849894724946
2019,40,B,D,B4,C,10251.373989874122
2019,41,C,D,B2,BFW,8929.999551988534
2019,42,C,D,B1,BPW,9519.695193174244
2019,43,D,D,B2,C,7847.660311924532
2019,44,D,D,B4,BPW,16358.87146118591
2019,45,E,D,B1,C,6284.619002942691
2019,46,E,D,B3,BFW,9999.121196325701
2019,47,F,D,B2,BPW,10407.06543319934
2019,48,F,D,B4,BFW,9738.34044025187
2020,1,A,A,B3,BPW,12691.832426370944
2020,2,A,A,B4,C,14422.175349256384
2020,3,B,A,B1,BPW,11522.193492819431
2020,4,B,A,B1,BFW,11726.837874396131
2020,5,C,A,B4,BPW,16373.736277940561
2020,6,C,A,B1,C,9562.39946084245
2020,7,D,A,B2,C,9948.92913785163
2020,8,D,A,B2,BPW,12943.938224232692
2020,9,E,A,B3,C,11754.229958737527
2020,10,E,A,B4,BFW,14605.521622391632
2020,11,F,A,B3,BFW,10992.106771702882
2020,12,F,A,B2,BFW,11634.262953711699
2020,13,A,B,B3,BPW,13021.0746321537
2020,14,A,B,B2,BPW,14307.278556611898
2020,15,B,B,B2,BFW,12115.45728823866
2020,16,B,B,B1,BPW,12749.596420123682
2020,17,C,B,B1,BFW,12576.634720625994
2020,18,C,B,B4,BFW,14408.788122646818
2020,19,D,B,B4,BPW,18310.985804417127
2020,20,D,B,B3,C,10453.74807670764
2020,21,E,B,B1,C,9055.304822931434
2020,22,E,B,B4,C,16352.72428411518
2020,23,F,B,B3,BFW,10862.414288723041
2020,24,F,B,B2,C,11870.624786088942
2020,25,A,C,B4,BFW,13469.180048823391
2020,26,A,C,B2,BPW,14577.383314551993
2020,27,B,C,B1,C,7302.94862540263
2020,28,B,C,B1,BPW,11269.819072881797
2020,29,C,C,B4,BPW,15768.96566578959
2020,30,C,C,B3,BFW,12943.569372008003
2020,31,D,C,B4,C,13161.703504236046
2020,32,D,C,B3,C,9815.992788405063
2020,33,E,C,B3,BPW,13927.98040950277
2020,34,E,C,B1,BFW,10176.445095893043
2020,35,F,C,B2,BFW,12148.085176826497
2020,36,F,C,B2,C,10896.505743572136
2020,37,A,D,B1,BFW,11673.62564352072
2020,38,A,D,B3,C,9518.632146571192
2020,39,B,D,B3,BPW,11976.545120638886
2020,40,B,D,B4,C,12918.440396251382
2020,41,C,D,B2,BFW,11554.765957223644
2020,42,C,D,B1,BPW,11488.728979740165
2020,43,D,D,B2,C,10177.302402191543
2020,44,D,D,B4,BPW,16398.350378170395
2020,45,E,D,B1,C,7579.182099105177
2020,46,E,D,B3,BFW,10450.201354965207
2020,47,F,D,B2,BPW,12533.352798370315
2020,48,F,D,B4,BFW,13751.531570883597
2021,1,A,A,B3,BPW,14739.706666666669
2021,2,A,A,B4,C,16051.859999999999
2021,3,B,A,B1,BPW,14270.466666666667
2021,4,B,A,B1,BFW,12883.82
2021,5,C,A,B4,BPW,15919.706666666669
2021,6,C,A,B1,C,11932.233333333334
2021,7,D,A,B2,C,11205.326666666668
2021,8,D,A,B2,BPW,15822.119999999999
2021,9,E,A,B3,C,12223.646666666666
2021,10,E,A,B4,BFW,13041.833333333334
2021,11,F,A,B3,BFW,12960.580000000002
2021,12,F,A,B2,BFW,9454.913333333334
2021,13,A,B,B3,BPW,12627.380000000001
2021,14,A,B,B2,BPW,15172.333333333332
2021,15,B,B,B2,BFW,12947.813333333335
2021,16,B,B,B1,BPW,12859.996497753065
2021,17,C,B,B1,BFW,11615.006666666666
2021,18,C,B,B4,BFW,15683.759999999998
2021,19,D,B,B4,BPW,18802.933333333334
2021,20,D,B,B3,C,13430.253333333334
2021,21,E,B,B1,C,7624.553333333333
2021,22,E,B,B4,C,14329.64
2021,23,F,B,B3,BFW,12461.826666666668
2021,24,F,B,B2,C,8710.333333333332
2021,25,A,C,B4,BFW,14989.686666666666
2021,26,A,C,B2,BPW,16471.56666666667
2021,27,B,C,B1,C,9983.226666666667
2021,28,B,C,B1,BPW,14680.133333333331
2021,29,C,C,B4,BPW,19380.379999999997
2021,30,C,C,B3,BFW,15201.466666666667
2021,31,D,C,B4,C,16559.300000000003
2021,32,D,C,B3,C,11964.646666666666
2021,33,E,C,B3,BPW,17456.239999999998
2021,34,E,C,B1,BFW,8998.773333333333
2021,35,F,C,B2,BFW,11146.160000000002
2021,36,F,C,B2,C,9585.84
2021,37,A,D,B1,BFW,13963.213333333333
2021,38,A,D,B3,C,12793.706666666667
2021,39,B,D,B3,BPW,15148.08
2021,40,B,D,B4,C,14718.453333333331
2021,41,C,D,B2,BFW,13459.186666666666
2021,42,C,D,B1,BPW,12504.013333333334
2021,43,D,D,B2,C,10731.793333333331
2021,44,D,D,B4,BPW,17168.306666666667
2021,45,E,D,B1,C,9424.266666666666
2021,46,E,D,B3,BFW,11917.046666666667
2021,47,F,D,B2,BPW,11875.053333333335
2021,48,F,D,B4,BFW,14332.74
2022,1,A,A,B3,BPW,10117.153418782553
2022,2,A,A,B4,C,13568.546666666667
2022,3,B,A,B1,BPW,8297.353333333333
2022,4,B,A,B1,BFW,7370.4
2022,5,C,A,B4,BPW,13624.89327392578
2022,6,C,A,B1,C,6810.94
2022,7,D,A,B2,C,8402.253333333334
2022,8,D,A,B2,BPW,12463.4
2022,9,E,A,B3,C,7979.946626790365
2022,10,E,A,B4,BFW,11143.70669108073
2022,11,F,A,B3,BFW,7193.699991048178
2022,12,F,A,B2,BFW,8230.0
2022,13,A,B,B3,BPW,9671.853252766927
2022,14,A,B,B2,BPW,13550.113333333333
2022,15,B,B,B2,BFW,12405.320000000002
2022,16,B,B,B1,BPW,9471.386666666667
2022,17,C,B,B1,BFW,10997.366666666667
2022,18,C,B,B4,BFW,13786.193570963542
2022,19,D,B,B4,BPW,14073.499877929688
2022,20,D,B,B3,C,8481.239978434245
2022,21,E,B,B1,C,6572.446666666667
2022,22,E,B,B4,C,13579.720130615233
2022,23,F,B,B3,BFW,7634.013358968099
2022,24,F,B,B2,C,8472.56
2022,25,A,C,B4,BFW,13691.753415120444
2022,26,A,C,B2,BPW,14571.76
2022,27,B,C,B1,C,6640.246666666667
2022,28,B,C,B1,BPW,7866.513333333332
2022,29,C,C,B4,BPW,13380.559970703125
2022,30,C,C,B3,BFW,9140.046666666665
